Filename,AoA,CST Coeff 1,CST Coeff 2,CST Coeff 3,CST Coeff 4,CST Coeff 5,CST Coeff 6,CST Coeff 7,CST Coeff 8,Cl,Cd
E180  8pt59,0,-8.4048686e-02,-4.1370001e-02,-4.0896340e-02,-4.5204520e-02,1.3173572e-01,2.0371772e-01,1.7037554e-01,3.9932386e-02,0.1443512,0.015294594
E182 8pt47,0,-8.7078155e-02,-5.7851976e-02,-5.0087786e-02,-7.8032100e-02,1.2601770e-01,1.8186184e-01,1.6285615e-01,2.1111589e-03,0.066173937,0.015151158
E184  8pt33,0,-9.0767832e-02,-7.3142650e-02,-6.0163167e-02,-1.0979739e-01,1.1862097e-01,1.6196024e-01,1.5311442e-01,-3.5000924e-02,-0.012150193,0.015067462
E186  10pt27,0,-1.0156556e-01,-1.0568195e-01,-7.1885392e-02,-1.8152440e-01,1.3827319e-01,2.2409012e-01,1.1684025e-01,-1.7316804e-02,-0.048542617,0.01591607
E193  10pt22,0,-9.0069448e-02,-2.4577489e-02,-2.4424981e-02,6.4896405e-03,1.5751026e-01,2.8496235e-01,1.9213503e-01,1.9015540e-01,0.34261085,0.016667147
E195  11pt82,0,-1.0642455e-01,-7.1963048e-02,-4.3326852e-02,-1.4479705e-02,1.6510059e-01,2.9627124e-01,2.0679042e-01,1.8603581e-01,0.30418393,0.017053921
E197  13pt49,0,-1.2148127e-01,-1.2198888e-01,-6.2902536e-02,-3.4943025e-02,1.7243758e-01,3.0893569e-01,2.2080612e-01,1.8090343e-01,0.26440844,0.017512951
E201  11pt88,0,-1.0838344e-01,-8.0527013e-02,-4.4297617e-02,7.6055266e-03,1.6269687e-01,2.9371826e-01,1.9784121e-01,2.1081561e-01,0.32241042,0.017105115
E203  13pt64,0,-1.2622128e-01,-1.4444207e-01,-6.1899037e-02,1.3340138e-02,1.6830632e-01,3.0305601e-01,2.0370791e-01,2.3251811e-01,0.30191755,0.017659348
E205  10pt48,0,-9.5318743e-02,-4.1084268e-02,-4.1249214e-02,-4.5691764e-02,1.6415988e-01,2.8293648e-01,1.4794449e-01,1.6369105e-01,0.25217845,0.01642687
E207  12pt04,0,-1.1127416e-01,-9.5875270e-02,-6.1483864e-02,-4.3314506e-02,1.6748535e-01,2.9263946e-01,1.5187048e-01,1.8439137e-01,0.23580354,0.017077602
E209  13pt72,0,-1.2830909e-01,-1.5616186e-01,-7.8589043e-02,-4.1692303e-02,1.7176416e-01,3.0264656e-01,1.5480964e-01,2.0694166e-01,0.21652275,0.0178272339999999
E210  13pt64,0,-1.1319862e-01,-7.9229330e-02,-5.2495941e-02,1.0768757e-01,1.9868582e-01,3.6443341e-01,1.8945146e-01,3.4686410e-01,0.48789408,0.018999063
E214  11pt1,0,-9.2261535e-02,-3.0800881e-02,-5.2867365e-02,1.5202461e-01,1.7809956e-01,2.9033737e-01,2.0907977e-01,3.3613307e-01,0.46949417,0.032727615
E220  11pt48,0,-9.9752092e-02,-8.2873415e-02,-6.5006658e-02,-1.3725478e-01,1.6558343e-01,2.4148553e-01,2.4582528e-01,5.3710265e-02,0.085855343,0.020405925
E222  10pt17,0,-1.0753402e-01,-6.4318913e-02,-6.2124817e-02,5.5978705e-02,1.6063843e-01,2.1839562e-01,1.7255615e-01,2.3371799e-01,0.33079768,0.016717592
E224  10pt17,0,-1.1310264e-01,-8.7976582e-02,-7.6469873e-02,1.1045329e-03,1.5487405e-01,1.9160478e-01,1.6453418e-01,1.7210624e-01,0.17201959,0.028249751
E226  10pt19,0,-1.2177051e-01,-1.1035379e-01,-9.1426172e-02,-5.6421243e-02,1.4723971e-01,1.6944476e-01,1.5081682e-01,1.1577662e-01,0.056480826,0.057428491
E230  9pt96,0,-1.3279786e-01,-1.5934435e-01,-1.0736114e-01,-1.7772245e-01,1.3108024e-01,1.1876501e-01,1.1593773e-01,3.1114392e-04,-0.13082001,0.015963561
E231,0,-9.2253468e-02,-8.2930161e-02,-1.2083894e-01,-1.2437211e-01,1.9100495e-01,1.9704218e-01,3.2557250e-01,1.5639964e-01,0.20095776,0.017850504
E374,0,-9.9786974e-02,-6.8581111e-02,-9.6941938e-02,-8.1836589e-02,1.4153997e-01,2.4697751e-01,1.8656385e-01,1.5733438e-01,0.17809424,0.016813228
E385  8pt41,0,-5.7405460e-02,8.4279338e-02,2.4550779e-02,2.0109872e-01,1.6893777e-01,3.1274995e-01,2.3641752e-01,2.7184402e-01,0.66147653,0.0181643
E387,0,-7.4003175e-02,3.3895598e-03,-1.1914141e-02,4.6964678e-02,1.5329392e-01,2.7138831e-01,1.8974914e-01,1.5528609e-01,0.37116593,0.016334294
E392  10pt15,0,-8.4609916e-02,-1.3718680e-02,-3.2742111e-02,8.7623671e-02,1.5977976e-01,2.8922069e-01,2.0127809e-01,1.9848790e-01,0.34280109,0.029851829
E423,0,-1.1741957e-01,2.1216287e-01,9.7081001e-02,2.5689673e-01,3.0399886e-01,4.8956766e-01,3.6303358e-01,5.0765922e-01,0.87709489,0.059461912
E471  6pt25,0,-5.2768928e-02,7.0407261e-02,2.8822423e-02,2.0150492e-01,1.4116081e-01,2.0720577e-01,2.0723072e-01,3.0259742e-01,0.60577777,0.017028767
E474  14pt09,0,-2.3832457e-01,-1.5200250e-01,-1.2577174e-01,-1.5859316e-01,2.3832460e-01,1.5200249e-01,1.2577174e-01,1.5859316e-01,-1.1527961e-06,0.017965928
GOE 515 AIRFOIL,0,-1.2483508e-01,2.3417190e-02,-4.7370299e-02,-4.4432384e-02,1.5121478e-01,1.8917860e-01,2.0070479e-01,1.7820143e-01,0.25414186,0.016160177
GOE 517 AIRFOIL,0,-5.6331275e-02,1.1337106e-01,-1.7606080e-02,2.5582119e-02,1.6280633e-01,2.5844650e-01,1.8527151e-01,2.1402110e-01,0.42211571,0.016458053
GOE 518 AIRFOIL,0,-9.2055044e-02,-1.5353633e-03,-5.0409924e-02,-9.1527725e-02,4.1727667e-01,4.5676238e-01,3.5772873e-01,4.8265869e-01,0.48740263,0.024694924
GOE 522 AIRFOIL,0,-2.3941260e-01,-1.4486466e-01,-7.4445728e-02,1.5867803e-02,3.6182855e-01,4.6782628e-01,3.6447345e-01,4.1628028e-01,0.45310266,0.024961986
GOE 523 AIRFOIL,0,-1.0156131e-01,2.6815573e-02,1.3233184e-01,4.1037555e-01,3.6103388e-01,5.1840019e-01,3.9692373e-01,5.6439567e-01,1.1111138,0.030807975
GOE 525 AIRFOIL,0,-1.0156131e-01,2.6815573e-02,1.3233184e-01,4.1037555e-01,3.6103388e-01,5.1840019e-01,3.9692373e-01,5.6439567e-01,1.1111138,0.030807975
GOE 526 AIRFOIL,0,-1.5470416e-01,3.1335477e-02,-7.5304696e-02,-5.8351567e-02,2.4604769e-01,2.7650897e-01,2.7566815e-01,2.4107369e-01,0.34770054,0.018569789
GOE 527 AIRFOIL,0,-1.4003131e-01,-1.6271373e-02,-5.8071347e-02,9.0892861e-04,3.2710453e-01,4.1786749e-01,3.1795512e-01,3.1092459e-01,0.50483384,0.02162709
GOE 528 AIRFOIL,0,-8.0039023e-02,4.3133773e-02,1.7380749e-02,4.5614196e-02,2.7460645e-01,3.7892203e-01,2.6624086e-01,2.9605003e-01,0.57729757,0.019868804
GOE 529 AIRFOIL,0,-7.6507274e-02,1.0693953e-01,-7.0939434e-03,5.4141475e-02,2.1161058e-01,3.5071641e-01,2.1970076e-01,2.5140413e-01,0.53052032,0.018300236
GOE 530 AIRFOIL,0,-1.2495135e-01,3.6467914e-02,-2.8248301e-02,-1.3003769e-01,3.0474425e-01,3.0225391e-01,2.9996700e-01,2.3600765e-01,0.37720083,0.019578249
GOE 533 AIRFOIL,0,-1.0401193e-01,-4.3458775e-02,-3.5190908e-02,1.1368682e-01,2.5738925e-01,3.7908656e-01,1.9693229e-01,2.7507485e-01,0.53399475,0.020756415
GOE 534 AIRFOIL,0,-1.4642007e-01,-3.8643812e-02,1.3375092e-01,1.4050449e-02,3.6000994e-01,2.8044125e-01,2.5481208e-01,2.0970817e-01,0.48576141,0.023388732
GOE 535 AIRFOIL,0,-1.5013070e-01,-1.0857534e-01,1.2517202e-01,9.4782811e-02,3.5079243e-01,3.7196675e-01,2.7181189e-01,3.2678129e-01,0.58597847,0.0309166079999999
GOE 546 AIRFOIL,0,-9.5337722e-02,-4.0141630e-02,-8.6817165e-03,2.6847257e-02,1.7877130e-01,2.4497381e-01,2.2417232e-01,2.4389715e-01,0.38990746,0.018577963
GOE 547 AIRFOIL,0,-1.0609011e-01,-3.5541019e-02,9.9746568e-03,7.3933281e-03,1.6771513e-01,2.5917599e-01,2.4756221e-01,2.9568336e-01,0.40813765,0.0208776
GOE 548 AIRFOIL,0,-1.1216782e-01,-1.1169562e-01,-7.5832569e-02,-7.1102570e-02,1.5480228e-01,2.3159508e-01,2.2389811e-01,2.6665398e-01,0.17984358,0.035451217
GOE 549 AIRFOIL,0,-1.1358480e-01,-3.5813708e-02,-4.2052021e-02,2.4743220e-02,2.1761506e-01,4.0957789e-01,2.0503797e-01,2.7481823e-01,0.43555886,0.022815032
GOE 559 AIRFOIL,0,-1.6342887e-02,-1.0614711e-01,-1.0064534e-02,-6.5099208e-02,5.9941318e-02,4.4576780e-01,5.4025616e-02,2.7347864e-01,0.2484723,0.027251449
GOE 561 AIRFOIL,0,-1.1670202e-01,-1.9022243e-03,-7.7037648e-02,-1.0169760e-01,5.0600804e-01,7.4887791e-01,3.9106012e-01,5.8884861e-01,0.53716222,0.033335782
